Summary,Description
Trip Planning Core,"Core trip planning functionality including trip creation, feasibility analysis, and itinerary generation."
Smart Trip Creation Form,"Create trips with destination autocomplete, date picker, traveler composition, budget, and travel style."
Feasibility Analysis Engine,"Analyze trip feasibility - visa requirements, safety checks, budget validation, accessibility."
Certainty Score Calculation,"Calculate 0-100 certainty score based on visa, accessibility, safety, and budget."
AI Itinerary Generation,"Generate day-by-day itineraries with activities, costs, transport, and food recommendations."
Trip Results UI,"Premium trip results page with two-column layout, interactive map, and expandable day cards."
Two-Column Results Layout,"Clean two-column layout - left for day cards, right for sticky map and panels."
Interactive Day Cards,"Expandable day cards grouped by morning/afternoon/evening time slots."
Interactive Itinerary Map,"Interactive map with markers, hover sync, and click-to-scroll functionality."
Certainty Bar Component,"Sticky certainty bar showing visa status, score, and expandable details."
Right Rail Panels,"Collapsible panels for True Cost, Action Items, and AI Chat."
AI Chat Assistant,"Conversational AI for itinerary modifications with pending changes confirmation."
Chat Interface for Modifications,"Natural language chat to modify itinerary - add activities, remove items, etc."
Pending Changes Confirmation,"Confirm or reject AI suggestions before applying with undo support."
Quick Action Chips,"One-click quick actions: +1 day, cheaper options, add beach day."
Change Planner Agent,"Smart agent that detects changes, recomputes impacted modules, explains deltas."
Change Detection System,"Detect changes in dates, budget, destination and calculate minimal recomputation."
Delta Explanation Banner,"Show certainty and cost deltas after modifications with undo button."
Compare Plans Modal,"Side-by-side comparison of original vs updated plan."
Auto-suggest Next Fix,"Rule-based suggestions for next improvement action."
Version History,"Trip version timeline for history, restore, and export."
Version Creation on Changes,"Auto-create versions on changes with upsert by changeId."
Version Timeline UI,"List versions newest first with source labels and summary chips."
Version Restore Functionality,"Restore previous versions with confirmation dialog."
Account-lite MVP,"Anonymous identity for trip ownership without registration."
Anonymous User Identity,"Generate UUID on first visit, store in localStorage, send as header."
My Trips Page,"List all trips by voyageUid with quick actions."
Trip Ownership Backfill,"Adopt orphan trips when users access via share link."
Chat Trip Wizard,"Mindtrip-style conversational trip planning interface."
Progressive Field Collection,"Conversational flow for entering trip details naturally."
Trip Summary Pills,"Visual pills showing trip details with state hierarchy."
Quiet Mode After Ready,"Suppress narrative messages once required fields are set."
Flexible Dates Intent Labels,"Intent-based date options: I know my dates, I'm flexible."
Action Items System,"Required vs Recommended action items with classification."
Required vs Recommended Classification,"Split action items into blocking and nice-to-have sections."
Fix Blockers CTA,"Fix blockers button to quickly resolve issues."
Analytics and Tracking,"Event tracking for trip interactions and funnel analysis."
Trip Event Tracking,"Track interactions: day_clicked, activity_clicked, chat_opened."
Analytics Debug Endpoint,"Debug endpoint to view tracked events with filters."
Performance Optimizations,"React rendering optimizations and lazy loading."
Component Memoization,"React.memo on DayCard, ActivityRow, HeaderBar, CertaintyBar."
Lazy Load Chat Panel,"React.lazy for TripChat component with Suspense fallback."
Certainty-First Homepage,"Hero section with feasibility CTA and clear value proposition."
Design hero section with feasibility CTA,"Hero headline emphasizing certainty with primary CTA."
Implement passport + destination input form,"Main input form for passport and destination selection."
Wire hero CTA to feasibility flow,"Connect hero CTA to feasibility analysis flow."
Add value proof bullets under CTA,"Compelling value propositions below main CTA."
Streaming Results UX,"Reduce perceived latency with real-time progress display."
Implement streaming status component,"Reusable streaming status for multi-step processes."
Display visa check progress,"Real-time progress during visa requirement analysis."
Display cost estimation progress,"Progress during cost calculation phase."
Display itinerary generation progress,"Progress during AI itinerary generation."
Add skeleton loaders for sections,"Skeleton loading states for all major sections."
Feasibility Verdict Engine UI,"Expose Go/Possible/No verdict clearly with details."
Build verdict card UI,"Main verdict display card with color-coded badge."
Display visa timeline + risk level,"Visa processing timeline and risk indicator."
Add confidence score logic,"0-100 score display with category breakdown."
Connect verdict to backend response,"Wire verdict UI to backend feasibility response."
True Cost and Budget Guardrails,"Surface real costs and guide budget decisions."
Build sticky cost sidebar,"Fixed sidebar showing running cost total."
Calculate running total cost,"Real-time cost calculation as itinerary changes."
Implement budget overrun detection,"Alert when estimated costs exceed budget."
Suggest cost-saving alternatives,"Actionable suggestions when budget is exceeded."
Visual Itinerary System,"Modern visually appealing itinerary display."
Implement day card layout,"Day card component for itinerary display."
Add morning/afternoon/evening grouping,"Group activities by time of day."
Integrate activity images,"Add images to activities using Unsplash."
Show per-activity cost labels,"Cost badge on each activity."
Action Items Checklist,"Trust-building checklist of pre-trip actions."
Define required vs recommended actions,"Logic for categorizing action items."
Build checklist UI,"Action items checklist component."
Populate actions from backend logic,"Wire checklist to backend action items."
Shareable View-Only Trips,"Trip collaboration via shareable links."
Generate shareable trip link,"Create unique shareable URLs for trips."
Implement view-only access mode,"Read-only view mode for shared trips."
Disable editing in shared view,"Ensure shared view cannot modify trip."
Add share modal UI,"Share trip modal interface."
Preference Capture Lightweight,"Improve results by capturing preferences locally."
Create preference micro-quiz,"Quick preference quiz for better recommendations."
Store preferences locally,"Save preferences in browser storage."
Inject preferences into prompts,"Use stored preferences in AI prompts."
